phys2,phys3,phys4,phys5,bhv1,bhv2,bhv3,bhv4,bhv5,bhv6,chg1,chg2,chg3,chg4,view1,view2,view3,view4,view5,cog1,cog2,cog3,cog4,cog5,cog6,cog7,accept1,accept2,accept3,accept4,accept5,accept6,mental1,mental2,mental3,mental4,mental5,mental6,mental7,mental8,mental9,ewb1,ewb2,ewb3,est1,est2,est3,est4,est5,est6,est7,est8,est9,est10,fam1,fam2,fam3,fam4,fam5,care1,care2,care3,care4,rel2,rel4,rel5,rel6,satis1,satis2,satis3,actstr1,actstr2,actstr3,econ1,econ2,econ3,workbal1,workbal2,workbal3,area1,area2,area3,area4,area5,area6,area7,area8,area10,access1,access2,access3,access4,access5,access6,access7,policy1,policy2,policy3,prep1,prep2,prep3,prep4
3,3,3,3,6,4,5,5,6,6,4,4,4,5,2,1,2,2,1,4,4,2,5,1,3,6,4,5,5,5,4,5,2,2,3,1,1,1,2,2,3,5,4,4,2,1,4,5,1,6,4,5,6,3,2,3,3,2,4,2,2,3,3,3,3,6,3,3,3,4,3,4,4,4,4,3,3,3,3,5,4,4,2,1,4,3,3,1,2,1,2,3,3,4,3,5,5,4,5,4,3,4
3,3,4,2,2,2,2,4,3,3,5,4,4,4,3,3,3,3,3,6,3,4,6,3,2,3,3,4,5,4,5,3,2,5,5,3,5,4,3,4,6,4,3,3,4,4,5,5,2,5,2,5,6,6,2,3,3,4,2,3,2,4,1,2,2,3,3,4,3,3,3,4,4,4,3,4,2,3,3,2,4,2,6,2,5,4,2,3,2,4,1,3,4,3,3,3,3,4,5,4,3,4
4,4,4,5,5,4,3,3,3,2,4,4,4,4,2,2,2,2,2,1,2,1,2,2,1,4,3,2,1,3,4,2,3,5,4,5,5,3,5,5,1,3,3,3,1,3,5,6,6,1,5,2,5,2,4,2,2,4,1,2,1,2,2,4,2,1,3,4,3,3,2,3,3,3,3,3,2,2,3,2,1,2,3,3,2,3,4,1,4,4,2,3,3,3,4,3,4,3,3,4,4,2
3,4,3,3,4,3,4,5,2,4,2,1,1,1,2,2,3,3,3,2,2,1,1,1,1,2,2,2,3,1,2,2,3,2,1,3,4,3,3,5,3,3,2,3,2,2,1,4,1,4,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,3,1,2,1,1,1,1,1,1,1,1,2,2,2,3,3,1,1,1,3
3,5,3,3,6,4,5,4,5,5,6,5,5,6,3,2,2,2,3,4,3,5,3,6,4,3,5,4,3,3,5,4,6,6,6,6,6,6,6,6,6,5,4,5,6,6,6,6,6,5,6,6,4,6,5,6,5,6,3,6,5,3,5,4,4,6,6,5,5,5,5,5,5,6,5,5,4,5,5,2,6,4,5,3,6,6,3,4,6,5,4,6,4,6,3,5,4,4,6,6,5,5
3,4,4,3,6,6,6,5,6,5,4,3,3,3,5,5,5,5,4,5,3,5,6,2,5,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,5,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6,6,6,5,5,6,4,6,5,5,5,6,5,5,6,6,5,5,4,4,1,4,6,6,6,4,3,6,5,4,6,2,6,4,6,6,5,5,4,6,6,6,6
1,1,2,1,4,4,3,4,1,3,2,2,2,3,2,3,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,3,3,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1
4,4,5,3,3,5,3,4,5,4,3,4,4,4,2,3,3,3,3,2,1,2,2,1,1,1,4,3,2,1,3,4,2,3,1,1,1,1,2,1,1,3,3,4,1,2,3,4,4,1,6,1,2,3,1,1,2,1,1,1,1,1,1,3,3,1,3,3,2,2,2,2,3,2,2,3,2,2,2,4,2,2,2,4,3,1,1,1,2,1,3,2,4,3,2,3,3,4,2,4,2,2
6,6,6,6,4,2,3,5,3,2,3,3,3,3,2,3,3,3,2,4,2,3,3,5,2,3,4,2,6,5,6,5,6,6,5,2,4,6,3,2,2,3,4,4,6,6,3,4,3,6,5,4,6,3,6,4,4,4,3,2,3,5,5,5,3,4,5,4,4,4,4,3,4,4,4,5,4,4,3,5,1,1,3,4,3,6,6,4,1,2,5,3,5,4,4,4,4,4,4,4,5,4
4,2,4,4,1,1,1,1,1,1,1,2,2,2,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,3,3,3,1,1,2,3,2,3,1,1,1,1
5,3,5,5,4,4,2,3,2,4,3,2,3,2,4,3,3,3,3,3,3,2,1,4,1,1,1,1,3,3,1,2,2,2,1,2,1,1,2,1,3,1,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,3,1,2,2,2,2,2,2,2,2,2,1,4,1,2,1,1,5,1,1,1,1,1,2,1,1,4,3,3,4,1,3,2,3
4,4,4,4,3,3,4,4,2,3,2,2,2,2,2,3,3,2,2,5,3,3,2,5,5,1,3,2,3,3,3,2,5,4,6,4,4,6,4,5,4,3,3,2,6,2,4,3,2,2,4,4,4,1,2,3,2,2,2,2,2,1,1,2,3,3,1,2,2,3,3,3,3,2,2,3,2,2,3,3,2,2,3,1,1,2,3,3,2,1,3,1,1,2,4,3,3,3,3,1,4,2
2,3,4,5,5,4,5,3,4,4,3,3,3,3,3,3,3,3,3,6,6,6,5,6,5,5,2,4,4,5,5,6,1,4,5,5,4,2,2,1,4,3,3,3,3,3,5,6,3,4,5,1,6,4,4,5,3,3,2,6,2,2,3,3,5,3,4,4,4,4,4,4,5,5,4,4,3,3,3,5,5,3,1,4,3,5,5,2,4,4,4,4,3,4,6,3,4,4,6,4,5,3
2,3,4,2,3,1,4,3,3,2,2,3,3,3,3,3,3,2,2,3,2,4,2,2,1,1,4,2,2,4,1,2,3,2,2,5,3,3,3,2,5,3,2,2,4,2,2,1,2,3,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,3,1,3,2,3,3,3,2,2,2,1
3,4,5,5,5,3,3,3,3,3,3,4,4,4,2,2,2,2,2,1,2,4,4,6,4,6,3,5,4,5,5,4,4,5,2,6,3,6,2,1,4,4,4,5,5,6,6,6,4,5,6,6,6,3,2,2,3,5,5,4,4,4,2,3,2,4,6,3,4,4,3,4,4,4,4,4,4,3,3,2,3,4,4,6,3,4,6,3,2,5,3,4,4,4,3,3,3,4,6,4,3,3
4,4,4,5,3,3,4,2,3,2,2,2,3,3,6,5,5,5,5,2,3,3,4,4,1,3,3,5,6,6,4,4,4,3,2,4,4,5,3,3,3,4,4,5,5,5,4,5,6,5,6,3,6,5,2,5,4,5,3,4,2,3,4,3,6,4,4,4,4,4,5,4,4,4,4,5,4,3,3,4,4,3,5,3,2,3,6,2,2,6,4,3,2,3,4,3,4,4,4,5,3,5
4,3,3,4,5,3,6,4,5,4,3,4,4,4,3,4,4,4,4,6,5,5,4,3,4,3,4,2,3,1,3,2,3,5,4,4,3,3,5,3,4,3,3,3,3,3,4,5,4,3,4,1,5,6,3,2,5,2,4,3,3,3,3,3,4,4,3,3,4,4,4,4,3,3,4,4,4,4,3,3,4,1,2,4,2,6,5,5,5,4,4,3,4,3,5,4,4,4,3,4,6,5
6,6,6,6,6,5,6,5,4,5,4,4,4,4,4,4,4,5,5,5,6,5,5,4,4,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,5,4,6,6,5,5,6,6,4,6,6,5,6,6,6,5,4,5,6,6,6,6
3,4,2,3,3,1,3,1,2,3,4,3,3,3,4,4,4,5,5,3,2,2,3,4,2,3,1,3,4,3,4,3,6,5,5,6,6,3,6,4,3,3,3,4,3,5,3,2,2,3,4,4,1,1,1,3,1,2,3,2,1,1,1,2,1,1,2,3,3,3,3,2,2,2,2,3,3,2,2,1,2,6,2,2,1,3,3,2,3,2,3,2,2,1,2,3,3,3,4,4,2,2
6,6,5,5,4,5,3,2,4,3,4,3,3,3,3,4,4,4,4,6,6,6,6,6,6,6,5,6,5,5,6,6,5,5,5,5,6,5,6,6,6,5,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,5,5,6,6,6,6,6,6,5,5,5,5,3,5,6,6,6,6,4,5,6,6,6,6,6,4,6,5,5,5,6,6,6,6
4,3,3,2,2,2,2,2,2,2,3,2,2,2,3,4,3,4,4,3,1,2,1,1,1,1,6,6,6,6,5,5,1,1,1,1,1,1,2,1,2,2,1,1,3,3,4,5,2,5,2,5,4,3,2,1,1,1,2,1,1,1,1,1,2,3,2,3,2,2,1,2,2,2,2,2,2,2,2,1,2,1,3,5,2,1,1,2,1,4,2,1,1,2,3,3,3,3,3,1,2,3
4,6,3,5,1,3,3,2,1,1,4,4,3,3,3,3,3,3,4,1,1,1,1,1,1,1,6,4,3,4,4,4,3,3,4,2,3,2,4,5,1,3,3,3,2,6,1,2,1,4,1,3,6,2,4,2,2,3,2,1,1,1,1,2,1,2,2,2,3,2,2,2,2,2,3,3,2,2,2,3,3,2,3,1,3,1,2,3,3,3,1,3,2,2,2,3,3,3,2,2,3,2
5,5,3,5,3,6,5,4,4,5,1,2,1,2,3,3,4,3,4,5,5,5,5,6,5,5,4,5,5,6,5,6,3,2,2,3,4,1,4,2,3,5,5,4,5,6,6,6,6,6,6,6,6,6,4,5,3,5,3,5,4,4,4,5,3,6,4,5,4,4,4,5,4,4,5,5,4,4,4,5,5,3,2,3,5,5,6,4,6,2,6,5,4,3,5,5,4,5,4,6,6,5
2,4,3,4,5,5,6,6,6,6,3,4,4,4,2,3,3,3,3,4,3,1,4,3,2,1,5,4,5,5,6,5,4,5,5,6,3,4,5,4,6,5,4,5,5,6,6,6,6,4,6,6,6,5,4,2,6,3,6,6,5,4,3,4,4,5,5,5,4,4,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,6,3,5,4,4,6,4,6,6
3,2,3,3,2,3,3,4,4,1,4,4,3,3,3,2,3,2,2,1,2,2,2,1,1,5,5,5,3,3,4,4,2,3,1,1,1,1,1,1,1,2,2,2,4,1,2,3,4,3,2,3,2,2,1,1,2,1,1,1,1,1,1,3,1,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,1,2,3,2,2,2,1,1,2,2,1,1,1,1,1,2,3,3,1,3,2,2
3,4,2,3,3,4,5,2,4,2,3,2,2,2,2,3,3,3,3,2,3,2,1,2,1,3,1,2,1,2,2,2,3,3,4,4,3,3,2,3,2,1,2,2,1,1,1,3,2,3,4,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,4,2,1,1,1,1,1,1,1,2,1,3,3,3,1,2,1,2
3,4,3,4,4,4,4,5,3,4,3,3,2,2,4,4,5,5,5,6,5,5,4,4,2,3,3,6,4,5,5,5,6,6,6,6,6,6,6,6,6,3,3,3,6,6,6,6,6,6,6,6,6,6,5,5,5,5,6,6,4,6,4,6,3,4,6,5,5,4,5,4,5,6,5,5,4,4,4,5,5,5,3,4,6,6,5,5,6,4,4,5,6,6,4,5,5,5,6,6,6,5
4,5,4,5,4,3,4,1,4,3,3,3,3,3,4,3,3,4,4,2,1,1,3,3,2,2,3,4,4,3,4,4,2,6,5,3,5,6,4,4,4,3,2,3,6,6,5,2,5,5,1,3,4,4,3,1,3,4,3,1,3,2,2,1,3,5,2,4,3,3,3,3,3,4,3,3,2,3,3,2,4,4,2,1,4,1,4,1,3,2,1,3,3,1,2,3,4,3,3,4,3,3
4,4,3,4,4,5,5,4,6,5,4,4,3,3,3,4,4,4,3,5,4,6,5,6,4,3,5,5,5,6,6,6,1,5,3,1,2,4,6,4,4,4,5,5,5,6,6,5,6,6,6,6,6,6,5,5,6,6,5,4,6,6,6,5,3,5,6,5,6,5,5,6,6,6,6,6,4,4,5,6,6,5,5,2,6,6,4,5,6,6,5,6,5,6,6,5,5,6,6,6,6,6
3,3,2,3,4,4,4,4,3,5,2,2,3,3,3,3,2,2,2,2,4,2,5,1,4,3,3,4,4,5,3,4,4,2,2,3,4,3,4,2,4,3,3,3,5,3,4,2,2,3,5,5,4,4,3,2,2,1,3,2,1,1,2,3,2,2,3,3,3,2,3,3,3,3,3,3,3,2,2,2,1,3,4,3,3,1,6,1,3,4,1,4,1,1,2,4,3,3,3,4,3,3
5,3,4,4,3,1,2,3,2,4,3,3,3,3,4,3,3,3,3,6,2,4,5,4,3,5,3,5,4,4,3,4,6,6,5,6,5,5,5,1,6,5,5,4,5,2,4,4,3,3,3,6,6,6,5,4,3,3,3,4,5,3,1,3,5,3,2,4,4,4,4,4,4,4,3,4,3,3,3,2,3,2,4,4,6,2,4,3,3,5,6,3,4,4,5,4,4,4,3,5,3,5
5,5,6,5,4,3,3,2,3,4,4,4,4,3,3,2,2,2,2,2,1,1,1,1,1,1,2,3,3,4,3,2,3,3,5,4,5,4,5,3,5,4,3,3,5,2,1,1,3,5,3,2,2,3,3,1,2,1,2,1,1,1,1,2,3,2,2,2,2,3,3,3,3,2,3,3,3,2,2,1,2,2,2,2,2,5,3,3,1,2,2,1,2,3,2,3,3,3,1,4,4,2
4,3,5,4,3,1,3,2,3,1,3,3,3,3,5,4,4,4,4,5,4,6,4,4,3,6,4,3,5,5,3,4,6,6,5,5,6,6,4,6,5,4,5,5,6,6,4,6,5,6,1,5,6,6,5,5,6,5,4,4,6,3,5,5,4,5,4,6,5,5,4,5,4,5,5,5,5,4,4,3,1,2,6,3,6,5,6,6,5,6,4,5,6,4,5,5,4,4,6,4,6,6
3,3,3,3,1,1,1,1,3,1,3,3,2,2,3,3,3,3,2,2,2,1,1,3,2,3,4,3,4,3,1,3,4,4,6,4,5,5,3,4,6,2,2,2,2,1,2,3,3,2,4,6,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,1,4,2,3,3,1,1,1,1
4,5,6,5,5,5,3,4,4,3,5,5,5,5,4,4,4,4,4,4,4,5,4,6,6,6,4,4,5,5,5,6,3,3,3,3,4,6,1,3,2,5,5,6,6,6,5,6,6,6,6,6,5,6,6,5,5,6,6,6,4,6,5,6,4,4,6,6,5,5,5,5,6,5,6,6,4,5,4,5,4,5,6,4,6,6,3,6,4,6,4,3,5,6,5,5,5,5,6,6,6,6
6,5,5,5,3,5,5,5,6,5,3,3,3,3,3,3,3,3,3,3,3,6,5,6,4,6,4,3,2,3,5,4,4,2,2,6,6,3,4,4,3,5,4,5,3,5,6,3,4,4,5,6,3,5,4,5,5,6,4,4,4,5,5,4,5,5,4,5,4,4,4,4,4,4,5,5,5,4,4,3,5,4,4,5,6,5,4,5,6,3,4,4,3,5,5,5,5,5,6,6,5,6
5,5,6,6,2,3,4,6,4,4,5,5,4,4,3,3,3,3,2,2,4,3,4,4,3,5,2,5,1,3,3,3,2,4,3,1,1,3,2,1,2,4,5,5,1,4,4,3,4,3,6,2,4,4,1,4,4,4,4,4,3,3,2,1,5,5,3,4,4,3,5,4,4,4,4,4,3,4,4,1,3,5,4,3,5,4,6,4,4,3,4,5,6,4,2,4,4,4,6,5,5,5
3,5,4,4,4,2,3,3,3,2,2,2,2,2,3,3,3,4,4,2,4,1,1,4,4,4,2,2,2,2,3,2,3,2,3,5,4,2,1,3,2,2,3,2,2,4,2,3,2,3,4,2,5,1,2,1,2,1,3,1,1,1,1,1,2,4,2,3,2,2,2,3,2,3,2,2,2,2,2,2,1,2,3,2,2,1,1,5,2,5,1,2,3,2,2,3,3,3,3,1,1,3
3,3,4,4,1,2,4,4,2,3,4,4,3,4,4,5,5,5,5,1,2,1,3,2,4,4,4,3,5,3,3,5,4,3,1,5,2,3,3,3,5,4,4,4,5,5,6,3,1,6,6,3,5,3,6,2,3,3,1,2,2,2,4,4,2,5,2,4,4,3,3,4,4,4,4,3,2,3,3,6,2,5,1,5,3,3,2,1,2,3,3,4,5,3,3,4,4,4,4,4,4,4
4,3,4,4,4,4,3,4,4,4,5,5,5,6,3,3,3,3,3,2,1,1,3,2,2,1,4,2,4,3,3,3,3,2,4,2,2,2,4,1,4,3,3,4,6,3,1,3,4,1,6,2,2,5,1,2,3,1,5,3,2,2,1,3,3,1,5,3,3,3,2,3,3,3,3,3,2,2,3,2,2,3,1,1,2,3,2,4,2,1,3,2,5,3,1,3,3,4,4,4,4,2
5,3,4,5,3,5,3,3,2,4,4,3,3,3,4,4,4,3,3,5,3,4,6,3,5,4,6,5,5,6,5,4,5,3,3,4,3,2,4,5,5,3,4,4,6,4,5,5,2,3,6,6,6,4,6,4,4,4,3,4,3,3,4,3,5,4,4,4,4,4,4,4,4,5,4,4,3,4,3,2,4,6,3,3,3,6,5,5,5,6,4,3,3,3,3,5,5,4,4,5,5,6
5,4,2,4,2,3,3,3,2,3,3,3,3,2,2,2,2,2,3,3,3,2,5,1,2,4,4,3,3,5,3,4,2,1,1,1,1,1,1,1,1,3,3,2,6,6,4,3,6,3,1,1,3,1,3,2,1,2,2,3,1,1,1,1,1,3,2,3,3,4,2,3,3,3,3,2,2,3,2,1,3,1,6,2,1,3,3,4,5,1,3,1,2,4,2,4,3,3,5,1,3,4
3,5,4,2,4,4,6,3,3,4,5,5,4,4,3,2,3,2,2,1,3,4,4,5,5,2,6,5,4,5,5,4,3,4,5,4,4,4,4,2,4,5,5,5,5,5,5,6,5,2,6,5,6,4,3,6,4,3,3,3,6,3,3,3,2,4,3,3,4,4,4,4,4,5,4,4,3,4,4,5,4,3,2,5,3,3,5,5,5,4,5,1,4,5,4,4,4,4,4,4,5,4
5,4,5,5,5,6,6,6,6,5,4,4,4,4,4,4,4,4,3,4,4,5,3,3,3,5,6,3,5,5,6,5,3,3,3,2,6,6,5,4,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,5,5,4,6,6,6,6,6,5,4,5,5,6,5,5,5,6,6,5,5,4,5,5,6,4,6,5,4,5,4,5,6,6,5,4,5,6,4,5,5,5,6,6,6,6
3,3,2,4,4,2,3,1,2,2,5,4,4,4,2,2,2,2,2,4,2,2,3,2,5,1,5,4,4,2,4,2,1,2,2,1,1,2,3,1,1,3,3,2,2,1,3,5,2,4,2,4,3,2,1,1,2,2,2,1,1,1,1,2,1,3,1,3,2,3,2,2,3,3,2,2,3,2,2,1,2,1,2,4,2,2,2,3,2,1,1,2,2,1,3,3,3,3,3,3,2,1
4,3,3,3,4,3,3,1,1,2,3,4,3,4,4,4,4,4,4,6,6,3,3,2,4,3,4,2,4,5,4,4,4,4,4,3,2,2,3,3,2,3,4,4,3,6,3,6,3,1,6,6,6,2,1,2,2,3,5,2,3,1,2,2,6,3,1,3,3,3,4,3,3,3,3,3,2,3,3,6,2,1,6,1,3,2,4,1,4,3,2,2,2,3,1,3,3,3,3,3,3,3
3,4,4,4,2,3,3,4,5,4,3,3,3,3,5,5,5,5,5,2,1,3,4,2,2,2,3,4,5,6,4,5,3,4,5,4,3,4,4,3,2,4,3,3,6,2,4,5,5,6,2,2,4,4,1,4,2,3,5,1,4,3,3,1,2,3,4,3,4,3,2,3,3,3,4,3,3,3,4,4,1,4,3,1,3,3,1,6,2,4,2,3,5,3,3,4,4,4,5,4,2,4
5,4,5,5,4,4,1,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,1,2,5,5,3,4,5,5,4,5,4,5,4,6,3,4,6,5,1,4,3,3,5,5,2,5,5,2,5,3,5,5,3,3,4,2,1,2,4,2,2,5,2,3,4,3,4,4,4,4,3,4,3,3,3,3,3,2,3,3,4,3,3,2,5,1,5,1,2,4,2,4,3,4,3,4,2,5,4,4
3,3,3,3,1,3,1,2,2,1,6,5,5,5,5,4,4,4,4,1,3,1,2,5,2,1,1,3,4,4,2,3,2,5,4,3,3,5,4,3,2,3,2,2,4,2,4,1,3,6,2,3,2,4,3,2,2,2,3,1,1,1,2,2,1,5,1,3,3,2,3,2,2,2,3,3,2,3,2,1,1,2,4,1,2,5,3,2,1,1,3,1,3,2,3,2,3,3,4,2,3,2
3,4,3,3,1,3,4,3,4,4,3,3,4,4,4,4,3,3,3,1,2,2,2,1,2,2,3,4,3,4,2,3,1,3,3,5,2,3,6,3,6,3,2,2,2,3,3,2,5,2,6,3,2,3,1,2,1,1,2,1,1,1,1,2,3,1,2,2,2,2,3,3,3,3,2,2,2,2,2,1,3,1,2,2,2,2,1,3,2,2,2,3,2,3,2,3,3,4,2,3,2,2
6,5,5,5,3,3,2,3,4,4,3,2,2,3,3,3,4,4,4,4,3,1,3,1,2,3,5,5,6,3,4,3,6,6,6,6,6,6,6,6,6,3,3,4,5,5,5,5,4,6,4,6,5,6,3,3,4,4,5,3,2,3,6,4,3,6,4,4,4,3,3,4,3,4,4,4,4,3,3,3,6,2,3,3,6,1,2,4,2,3,3,4,3,4,6,4,4,4,6,4,4,4
6,6,4,5,6,5,6,3,5,5,3,3,2,3,3,4,4,4,4,5,4,5,4,4,4,3,3,3,4,5,5,2,5,6,6,3,5,4,6,4,6,5,4,4,6,6,6,3,4,5,5,5,6,6,3,4,5,3,5,2,4,3,6,4,3,4,4,5,4,4,4,4,4,4,5,4,3,4,4,4,5,4,2,4,6,3,3,5,2,4,4,4,3,3,4,4,4,3,4,6,6,4
5,5,5,4,5,2,2,3,3,4,4,4,4,3,4,4,3,3,3,2,3,4,1,3,1,3,4,3,3,3,3,3,2,1,3,3,4,1,6,5,5,4,4,3,3,4,4,3,6,4,3,4,4,2,3,1,3,5,2,2,2,3,1,3,2,3,3,3,2,3,3,3,4,4,3,3,2,3,3,1,4,2,4,2,2,2,3,2,3,4,2,3,3,1,5,3,4,4,3,4,2,3
4,4,3,4,4,4,1,2,2,2,3,3,4,4,5,4,4,4,4,3,4,3,6,3,3,5,6,5,4,5,6,6,6,5,6,6,6,5,3,5,5,6,5,5,6,6,6,6,6,6,6,6,6,5,5,4,6,5,3,3,6,5,4,4,4,5,5,4,4,5,5,4,5,4,5,5,4,4,4,5,4,6,3,6,2,5,3,6,2,3,5,4,4,1,5,5,4,4,6,5,5,5
3,2,3,5,4,4,5,5,6,5,2,2,2,1,2,1,1,1,1,4,2,3,3,2,3,2,2,2,2,3,1,2,3,3,3,2,2,2,5,3,1,2,1,1,2,2,3,1,1,3,1,4,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,2,2,3,2,2,1,1,1,4,2,1,1,1,1,1,1,2,1,1,4,1,3,3,3,1,3,1,1
4,4,4,4,3,2,4,3,2,2,3,3,2,2,4,4,4,4,3,6,4,6,3,3,2,3,2,3,3,4,3,4,4,4,6,5,4,2,6,4,3,4,4,4,4,5,5,5,4,1,5,1,2,4,2,3,4,5,3,3,2,3,2,2,3,2,4,3,4,4,3,4,4,3,4,4,3,3,3,2,1,1,1,5,3,4,5,6,1,3,1,1,3,5,3,3,4,4,5,4,4,3
3,3,3,4,3,5,6,5,5,5,3,3,3,3,4,3,3,4,3,4,1,3,2,3,2,1,6,5,5,6,4,5,3,4,4,3,3,4,5,4,3,3,3,4,6,2,4,4,6,4,6,3,6,5,4,5,3,4,1,1,3,3,6,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,6,3,2,5,2,4,5,3,4,1,3,4,4,4,6,5,5,4
1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1
3,5,3,2,5,5,4,5,3,3,5,5,4,5,4,3,3,3,3,1,2,2,2,5,2,2,3,4,6,5,4,3,5,4,5,5,3,6,5,4,4,3,4,4,6,6,3,5,6,6,4,6,6,2,4,4,4,4,2,4,3,2,4,3,4,2,4,4,4,4,3,3,3,4,4,4,3,4,4,2,5,4,2,6,4,4,4,6,4,3,3,3,4,3,6,4,4,4,5,4,5,3
3,3,5,4,3,2,2,1,2,2,1,2,2,2,1,1,2,2,2,4,1,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,4,4,1,1,1,1
4,4,5,5,2,3,3,3,3,3,1,1,1,1,3,3,2,2,2,1,2,2,1,1,1,1,2,1,3,1,2,1,6,6,6,5,6,6,6,5,5,2,1,1,1,3,5,2,2,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1
4,4,4,4,4,3,5,4,5,3,6,6,6,6,5,5,5,5,4,6,3,6,5,2,4,3,4,5,5,6,6,6,6,6,6,5,4,2,6,5,4,5,5,5,4,6,4,5,6,5,6,6,6,6,5,5,6,4,5,4,5,6,5,6,4,5,4,5,4,5,5,5,5,6,5,5,4,4,4,4,5,5,3,3,6,6,2,4,3,4,5,6,4,3,4,6,5,5,6,5,5,6
3,6,5,4,2,4,4,3,3,1,3,2,2,2,3,3,3,3,3,1,1,1,2,3,1,4,6,5,5,6,4,2,6,2,3,4,2,4,2,5,2,5,4,4,4,4,5,5,2,2,5,1,3,6,6,1,3,3,2,3,2,2,1,1,2,4,4,3,3,3,3,3,4,3,4,3,3,3,2,1,3,1,1,5,3,3,2,3,3,4,5,2,2,3,1,5,4,4,3,2,4,4
5,5,5,6,2,3,3,3,3,3,3,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,4,6,2,3,1,2,3,3,3,4,3,3,2,2,1,3,2,3,5,6,3,2,1,4,2,2,1,3,2,2,2,1,1,4,4,3,2,2,2,3,2,2,2,3,3,3,2,3,3,1,2,1,2,4,2,3,1,1,2,1,1,4,1,1,2,4,4,4,3,4,4,1
5,3,4,4,4,4,5,5,6,5,3,4,4,4,3,4,4,4,4,2,1,2,2,2,2,1,4,5,5,3,5,3,1,1,1,2,1,1,1,1,2,3,3,3,3,5,2,1,4,5,3,4,5,4,3,3,2,2,2,1,3,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,2,2,4,1,2,1,3,3,5,1,2,2,3,4,4,2,5,4,3,4,3,4,3,3
5,5,5,6,3,4,3,3,2,4,3,2,3,2,3,4,3,3,3,1,1,1,1,1,1,1,5,5,6,6,6,6,4,6,2,3,2,3,3,3,4,3,4,4,4,6,2,6,3,5,5,5,5,5,3,3,2,3,2,2,3,2,3,2,4,4,1,3,3,3,3,3,3,4,3,3,2,3,3,3,2,3,4,5,2,1,4,2,4,3,3,4,3,2,3,4,3,4,5,2,3,4
